@PedroCastilloTe
Fecha,Texto,Comentarios,Retweets,Guardados,Likes
"Jul 12, 2023 · 7:40 PM UTC",Informamos que la cuenta verificada de Facebook del SPR Pedro Castillo está siendo utilizada por una persona desconocida. Los anuncios realizados en su nombre no provienen de él. Estamos trabajando para recuperar el control de la cuenta. Informaremos sobre cualquier novedad.,2,119,11,484
"Jul 10, 2023 · 1:27 AM UTC",Saludamos la decisión oficial del presidente Pedro Castillo (PedroCastilloTe) en la elección del compañero Iber Maraví como su vocero oficial. Nos fortalecemos cada vez más en la lucha por su liberación y restitución.,202,55,3,329
"Jun 29, 2023 · 9:42 PM UTC","Me visitó Guido Croxatto, abogado del presidente Pedro Castillo. Coincido con él en que defender a Castillo es defender la justicia, no sólo de un hombre sino de todo un pueblo.

Ojalá la ONU salga de su letargo.","4,750","4,735",432,"14,279"
"Jun 23, 2023 · 4:28 PM UTC","Libertad y restitución del Presidente @PedroCastilloTe Tras culminar la audiencia de acción de amparo contra el congreso por el ilegal proceso de vacancia, peruanos reclaman y defienden a su legítimo mandatario. ""Poder Judicial, respeta nuestros votos"". #PERU",111,126,1,236
"Jun 20, 2023 · 9:58 PM UTC","Betssy Chávez no le teme a la prisión y le responde al Poder Judicial aliado de la extrema derecha golpista: “Si quieren hacerme presidenciable, ya saben a donde mandarme.” Mientras tanto esa izquierda que solo pide adelanto de elecciones se queda callada.",106,120,11,293
"Jun 20, 2023 · 8:57 PM UTC","La vez que Betssy Chavez llamó CORRUPTA a Patricia Benavides y la tildó de ser 'Blanca Nelida Colan 2.0'. También señaló a la prensa como MERMELERA y VENDIDA. ""No me importa que pidan mi prisión preventiva"".",130,345,23,814
"Jun 21, 2023 · 4:36 PM UTC","Condenamos la brutal represión que sufren nuestras hermanas y hermanos en #Jujuy. La violencia, el discurso de odio racial y mentiras de una autoridad que apoyó el golpe de Estado en Bolivia no acallarán el clamor de paz, soberanía y dignidad de las organizaciones sociales

Una Constitución debe ser producto del consenso para garantizar la soberanía sobre los recursos naturales y proteger los derechos del pueblo y sus comunidades indígenas. Que la @CIDH y otros organismos defensores de Derechos Humanos intervengan para cuidar la vida de nuestros hermanos 

Nuestro apoyo a hermanas y hermanos que marchan con la Wiphala, símbolo de libertad y solidaridad entre los pueblos dignos de la Patria Grande y el mundo.","2,046","1,682",250,"4,385"
"Jun 13, 2023 · 5:04 PM UTC","Mi profundo agradecimiento presidente @lopezobrador_ por su confianza. Con enorme responsabilidad, honor y compromiso recibo su encargo para encabezar la @SRE_mx nuestra voz en el mundo, orgullo del Estado mexicano y puntal del proyecto transformador, digno e igualitario de la 4T",504,"2,911",242,"10,287"
"Jun 14, 2023 · 12:59 PM UTC","#UnDíaComoHoy en 1928, nació el hermano comandante y líder revolucionario de la lucha de pueblos dignos y libres contra el imperialismo, Ernesto “Che” Guevara de la Serna. Su ejemplo de consecuencia y lealtad inspira la búsqueda permanente de inclusión con solidaridad e igualdad.","1,465","1,459",157,"4,558"
"Jun 10, 2023 · 4:23 PM UTC","🔥ALERTA🔥

PEDRO CASTILLO SIGUE SIENDO PRESIDENTE DE LA REPÚBLICA

ANÍBAL TORRES te explica porqué 👇",549,493,103,"1,146"
"Jun 6, 2023 · 7:02 PM UTC","Algunos “socialistas” usan la imagen de Allende para pedir votos, pero cuando consiguen el poder aplican las políticas de Pinochet. En vez de condenar los golpes de Estado promovidos por EEUU, acompañan con su silencio la defensa de los golpistas en Bolivia.",880,"4,228",916,"14,581"
"Jun 7, 2023 · 10:01 PM UTC","La movilización popular debe crecer y volverse permanente. Las reformas ya presentadas crecerán con la reforma al código de minas, para proteger a la pequeña minería,  a la ley 30 de educación superior para ampliar cobertura y gratuidad, y a la ley de servicios públicos.para darle prevalencia a los usuarios","1,890","5,140",208,"14,756"
"Jun 7, 2023 · 10:54 PM UTC",Esta es la verdadera gobernabilidad: la genera el pueblo.,"3,218","5,345",236,"14,997"
"Jun 6, 2023 · 1:37 PM UTC","Contraportada de hoy de @LaJornada:

Arrecia embate contra el presidente de #Colombia
Mortandad de peces en río de #Veracruz 
Concesiones mineras, raíz de la destitución de @PedroCastilloTe
Exención de #ISR e #IVA a inversores en el #CorredorInteroceánico
bitly.ws/HpsB",6,46,1,77
"May 30, 2023 · 4:29 PM UTC","AMLO le atiza a los progres buena ondita.
Jajajajaja genial.
""Esos progres buena ondita que no se definen y al final terminan en el flanco derecho"".
Vaya raspón al progre @m_ebrard, que su campaña es de un Movimiento Progresista.
Hasta una combi tiene llamada La Progre.
🥴🤡🤣",14,91,7,184
"May 19, 2023 · 1:16 AM UTC","Dina Boluarte, usurpadora, sabes que pronto la lucha popular y la justicia te obligarán a devolver la presidencia a Pedro Castillo. Tú, en desacato huirás, por eso desde  hoy pides al congreso que luego de tu destitución te permitan ""gobernar virtualmente desde el extranjero""",838,121,51,453
"May 24, 2023 · 11:30 AM UTC","In Peru, investigations into the killing of protesters by security forces are often closed without any charges. An unusually high death toll during antigovernment protests after the removal of the country’s president last year has spotlighted the issue. nyti.ms/42YLddc",181,"1,018",72,"1,882"
"May 24, 2023 · 4:58 PM UTC",🎯SALEN MAS VIDEOS. Varios peruanos fueron retirados del teatro donde hizo su presentación el alcalde cusqueño en Manhattan - Estados Unidos y muchos de ellos llevados a las dependencias policiales en ese país.,129,700,54,897
"May 27, 2023 · 6:51 PM UTC","Artistas Unidos de Ayacucho lanzan tema musical contra la asesina Dina Balearte, rumbo a la Tercera Toma de Lima.
“Dina Balearte jijuna gran... uta, quién te ha dicho que eres presidenta. Nadie te quiere, nadie te respalda asesina cha'su mare”.
🎵🎶 #TerceraTomaDeLima",143,"1,050",45,"1,978"
"May 26, 2023 · 4:07 PM UTC","#ConferenciaPresidente | Dijo @lopezobrador_ que @PedroCastilloTe fue destituido y encarcelado por una oligarquía que se ha dedicado a saquear a #Perú, junto con empresas extranjeras, añadió que esa oligarquía controla todo en dicha nación.",10,51,2,93
"May 27, 2023 · 10:02 PM UTC","Respaldamos a nuestro Presidente @lopezobrador_, quien salió en defensa del presidente legítimo de Perú, @PedroCastilloTe. 

¡No a la imposición de gobiernos autoritarios!",411,180,19,398
"May 27, 2023 · 11:22 PM UTC","El racismo y el clasismo de la oligaquía de #Perú llevó a la deposición de @PedroCastilloTe, advierten gobernadores de la 4T.

A través de un comunicado, respaldaron la defensa del Presidente @lopezobrador_ al mandatario peruano injustamente encarcelado.
elsoberano.mx/2023/05/27/gob…",158,469,12,920
"May 27, 2023 · 10:00 PM UTC","Juntas y juntos en la 4T, leales a los principios democráticos, estamos en contra del racismo, del clasismo y de toda forma de discriminación, en México y en cualquier país, sobre todo, cuando esto se traduce en la imposición de gobiernos autoritarios que transgreden los principios de la democracia y la soberanía popular.","4,167","1,624",315,"4,282"
"May 28, 2023 · 10:10 PM UTC","Un día como hoy 2011, regresamos del exilio. Honduras a la comunidad internacional, y Libre, con la resistencia y @XiomaraCastroZ a derrotar contundentemente la narco dictadura y sus adláteres  que aún hoy se niegan a reconocerlo.",133,211,26,572
"May 27, 2023 · 12:39 AM UTC","🔴 Tras ser declarado non grata en Perú, el presidente de México anuncia una pausa en sus lazos económicos y comerciales con Lima por falta de “normalidad democrática”.

🔗Nota completa: shorturl.at/lqMV8
#AMLO #Peru #DinaBoluarte",21,573,11,967
"May 27, 2023 · 10:09 AM UTC",Governo Lula atende PSol e interrompe venda de armas para o Peru dlvr.it/SpjVzT,45,131,23,745
"May 24, 2023 · 4:55 AM UTC",Hago del conocimiento de ustedes el comunicado del Grupo Parlamentario de Morena en el Senado sobre los más recientes acontecimientos en la relación de México con Perú:,27,70,3,127
"Mar 24, 2023 · 9:30 PM UTC","El presidente @lopezobrador_ está dispuesto a reunirse con el abogado de @PedroCastilloTe. Insistió en que la destitución del presidente de Perú fue una injusticia y una violación a la democracia.
 
“Fue por consigna de los potentados del Perú y del extranjero.”",213,259,15,766
