@Vero_Mendoza_F
Fecha,Texto,Comentarios,Retweets,Guardados,Likes
"Aug 10, 2023 · 4:12 AM UTC","Toda la solidaridad con el pueblo ecuatoriano en estos momentos de conmoción por el asesinato del candidato presidencial Villavicencio.

Terrible el avance del crimen organizado en América Latina. Un flagelo a combatir a escalas nacional y regional.",368,51,18,311
"Aug 9, 2023 · 9:15 PM UTC","#AYACUCHO | Hoy se hallaron los restos humanos de 2 personas en La Hoyada, Cuartel Cabitos. En este año ya son 8. Siguen brotando los desaparecidos por la construcción del Santuario de la Memoria, cuántos más serían si se hicieran trabajos de exhumación. Heridas del conflicto.",7,253,8,353
"Aug 9, 2023 · 11:01 PM UTC","En su viaje inconstitucional a Brasil la Sra.Boluarte habló de ""51 comunidades nativas que merecen todo el apoyo desde el gobierno”, confirmando su cinismo y total desconocimiento

En el Perú existen + de 9mil comunidades campesinas y nativas pertenecientes a 55 pueblos indígenas",837,202,25,475
"Aug 9, 2023 · 2:55 PM UTC","🟡🔵 HOY! 5 Pm
Foro Internacional
¿Cuál fue el papel de las Comisiones de la Verdad en Colombia, Guatemala, Canadá y Perú, en el fortalecimiento de las democracias?. Te invitamos a participar de este diálogo y compartir una reflexión con expertos internacionales.
👉🏾Ingreso libre desde las 4:30 p.m 
📍Lugar de la Memoria, la Tolerancia y la Inclusión Social, Bajada San Martín Nº151. Miraflores.
🎥Transmisión en vivo por nuestro FBK @cnddhh. 

¡Te esperamos!

#CVR+20
#LaJusticiaHaceLaPaz",5,13,1,23
"Aug 9, 2023 · 2:12 PM UTC","🚨#Atención | Presidente del @congresoperu lo negó pero revelan documento donde Alejandro Soto, solicitó al juez Carlos Román Gil acogerse a la Ley N.° 31751, Ley que él mismo promovió, para archivar las acusaciones fiscales en su contra por estafa y falsedad genérica.

👉Su caso prescribió dos días antes de ser elegido presidente del Congreso, y no el 8 de noviembre de 2019 como aseguró.",21,421,11,547
"Aug 8, 2023 · 2:44 PM UTC",".@OACNUDHPeru, @UnaidsLac, @ONUMujeres, @UNFPAPeru y @UNICEFperu expresan su profunda preocupación por un nuevo caso de vulneración a los derechos de una niña de 11 años, bajo el pseudónimo de Mila.

Lee el pronunciamiento aquí. ⬇️
peru.unfpa.org/es/news/comun… nitter.net/i/web/status/168…",12,370,49,422
"Aug 6, 2023 · 3:26 AM UTC","Este 9 de agosto: encuentro internacional para discutir la experiencia de las comisiones de la verdad.
#CVR20años
@LUMoficial",1,19,,51
"Aug 3, 2023 · 8:49 PM UTC","Realizan plantón en el Poder Judicial de #Sicuani en solidaridad con el defensor de Espinar #SergioHuamani, quién se encuentra denunciado por minera transnacional #Antapaccay. Lectura de sentencia fue programada para el jueves 17 de agosto a las 4 de la tarde.",4,78,1,108
"Aug 3, 2023 · 10:12 PM UTC","#SíAlYasuní 🌎
Las y los ecuatorianos acudirán a las urnas el 20 de agosto para votar por presidente, vicepresidente y congresistas, y también para participar de una consulta popular que decidirá si se debe dejar el petróleo bajo tierra en el #Yasuní. 🧵
sumauma.com/es/sem-clima-par…",1,5,1,12
"Aug 3, 2023 · 12:28 AM UTC","Realizan plantón en el Poder Judicial de #Sicuani en solidaridad con el defensor de Espinar #SergioHuamani, quién se encuentra denunciado por minera transnacional #Antapaccay. Lectura de sentencia fue programada para el jueves 17 de agosto a las 4 de la tarde.",3,42,,55
"Jul 30, 2023 · 11:02 PM UTC","Qué pereza dan los fujimoristas cuando quieren atarantar con datos absurdos de una realidad que NO CONOCEN.
En fin, hay que responder. Hilo.",82,404,18,"1,128"
"Aug 1, 2023 · 10:49 PM UTC","Pescadores artesanales de Ventanilla denuncian la presencia de hidrocarburo en las playas Los Delfines y Cavero. ¡Sí, otra vez! OEFA viene realizando las investigaciones. Exigimos celeridad, a fin de que se pueda determinar su origen y responsabilidades lo antes posible.",40,204,3,407
"Aug 1, 2023 · 12:30 AM UTC",¡Dina Boluarte y sus socios quieren quedarse por lo menos hasta el 2031! #DinaAsesina necesita poder para lograr impunidad frente a sus crímenes y los congresistas van a aprobar la bicameralidad para reelegirse ¡Tienen 6% de aprobación pero se aferran a su curul! 📺 @mochagarcian,86,60,5,135
"Jul 29, 2023 · 5:47 PM UTC","Dina Boluarte habla de “pérdidas económicas por las protestas” cuando el principal obstáculo al crecimiento es su régimen ilegítimo que, por las violaciones de DDHH, no se puede considerar democrático. #DinaAsesina debe renunciar. El Perú requiere un gobierno legítimo. 📺@GGG_pe",124,117,11,213
"Jul 29, 2023 · 11:58 PM UTC","Lo único positivo de la alianza fujicerronista para sostener el régimen de #DinaAsesina es que al pueblo ya le ha quedado claro que Perú Libre no es una opción de cambio, que se han olvidado de sus principios y su ideología y que ahora solo piensan en sus componendas. 📺 @GGG_pe.",78,50,10,118
"Aug 1, 2023 · 4:23 PM UTC",Seguimos firmes en contra de las detenciones arbitrarias y abusivas de esta dictadura que busca silenciar a todos los que la cuestionan por su ilegitimidad y sus crímenes. Hoy nos concentramos en solidaridad con el compañero Luis Cruz Layme.,72,39,2,73
"Jul 31, 2023 · 6:20 PM UTC","🔴 #LasMañanas | @mocha_peruana: “En realidad es desconcertante, ella (Dina Boluarte) viene de la plancha ganadora y gobierna con los perdedores. Es por eso que más allá de la legalidad de la herencia perdió la legitimidad, porque no representa al sector con el que ella gana”.",21,127,8,295
"Aug 1, 2023 · 12:31 PM UTC","#Cusco. Minera Antapaccay de Espinar insiste en la denuncia contra el dirigente y defensor ambiental Sergio Huamaní. Está solicitando 3 años de pena privativa de la libertad efectiva y 230 miles soles de reparación, por supuesta difamación, por declaraciones realizadas.",44,139,5,160
"Jul 31, 2023 · 9:05 PM UTC","🚨Nuestro derecho a la protesta sigue siendo reprimido y criminalizado.

Ese es el caso de Jaime De La Cruz, defensor ambiental del Valle de Tambo - Arequipa, sentenciado y detenido INJUSTAMENTE por defender el agua y la vida, ante el extractivismo minero 👇",11,97,4,114
"Jul 31, 2023 · 10:29 PM UTC","Necesitamos apoyo urgente para el ultimo detenido injustamente en las marchas en Lima.  
Es dirigente aymara, detenido desde el sábado 29 y quieren darle PRISIÓN PREVENTIVA.
#LuisCruzLibertad
Que Dina y la fiscal de la nación sepan que estamos atentos, @FiscaliaPeru",11,128,8,160
"Jul 31, 2023 · 3:58 PM UTC","Defensor del ambiente y ex dirigente de Valle de Tambo, Jaime de la Cruz, fue DETENIDO y trasladado a la carceleta del Poder Judicial de Arequipa.

“No he matado ni violado a nadie, violaron mi domicilio, abusaron con mis familiares, yo me he entregado”.

muqui.org/noticias/alerta-ja…",36,252,16,230
"Jul 31, 2023 · 6:41 PM UTC","Ayuda urgente. Me han abandonado dentro de la cochera (refugio de gatos de la cuadra) al mediodía de hoy lunes 31/8 este cachorro. No puede estar acá, los gatos le pegan y lo pueden atropellar. #Chorrillos #AdopciónResponsable nitter.net/i/web/status/168…",6,191,7,77
"Jul 31, 2023 · 1:55 PM UTC",“El 80% de peruanas y peruanos coincidimos en que la única manera de poner un alto a este régimen ilegítimo y lograr justicia para los asesinados es con #AdelantoDeElecciones. Pero solo es un primer paso. Solo una #NuevaConstitución hecha por el pueblo dará salida a esta crisis”.,18,18,6,43
"Jul 31, 2023 · 1:54 PM UTC","“El mensaje de Dina Boluarte fue una muestra de sus MENTIRAS y su CINISMO. Al mismo tiempo que pedía perdón en el Congreso, las fuerzas armadas de su régimen reprimían, golpeaban y detenían arbitrariamente a manifestantes pacíficos”. 

📻 @Vero_Mendoza_F en radio Urubamba, Cusco.",125,71,8,136
"Jul 30, 2023 · 12:49 AM UTC","Gracias a la presión ciudadana desde muchos lados, ya liberaron a Raúl Tincco. La arbitrariedad ha sido tan grosera y evidente, qué tendrán que hacer lo mismo con Kenty. Ahora queda demandar una reparación a la Policía Nacional y al Ministerio del Interior pot los daños causados",6,17,1,40
"Jul 30, 2023 · 2:36 AM UTC","Pobladores de comunidades del distrito de Livitaca, en Chumbivilcas, Cusco, desfilaron con banderas negras, en señal de duelo por los asesinatos cometidos en este gobierno. En declaraciones a #CuscoEnPortada, señalaron que no se sienten identificados con el gobierno de Boluarte.",35,304,7,562
"Jul 30, 2023 · 2:34 AM UTC","Chumbivilcas acató una contundente paralización de 48 horas, contra Dina Boluarte y el Congreso.
Cientos de pobladores se movilizaron por diferentes calles y arterias de Santo Tomás.",66,206,6,470
"Jul 29, 2023 · 5:41 PM UTC","🚨 URGENTE
En estos momentos represión en Plaza Dos de Mayo. En el lugar, se encuentran presentes familiares de los asesinados por el régimen de Dina Boluarte y delegaciones del interior. Basta de abuso! @PoliciaPeru
@presidenciaperu
@AlbertoOtarolaP
#DerechoALaProtesta
#CNDDHH nitter.net/i/web/status/168…",34,376,22,437
"Jul 29, 2023 · 5:42 PM UTC","Aquí el ""diálogo"" y la ""reconciliación"" que planteaba ayer D. Boluarte en su mensaje: seguir reprimiendo y criminalizando a quienes ejercen su derecho a la protesta.

¡Basta!

¡Libertad para Kenty Aguirre y Raúl Tinco! 

Alcemos nuestras voces para exigir justicia.",172,211,11,490
"Jul 28, 2023 · 8:37 PM UTC","🚨#Atención | Juan Zapata, fotoperiodista de nuestro medio, quedó herido en la pierna tras recibir un perdigón disparado por la Policía durante la represión registrada en el cruce de las avenidas Abancay y Nicolás de Piérola, en Lima.",139,415,16,510
"Jul 29, 2023 · 3:12 PM UTC",Miembros de la Asociación de Víctimas y Mártires del 9 de enero en Juliaca caminan por Av. Arequipa llevando su demanda de justicia y de retorno de las carpetas fiscales a Juliaca. Participaron en un plantón a metros de iglesia evangélica donde estaba Boluarte en Te Deum #29J,1,518,11,943
"Jul 29, 2023 · 1:45 AM UTC",".@Vero_Mendoza_F, excandidata a presidenta: “#Perú 🇵🇪 necesita nuevas reglas del juego, un nuevo pacto social y eso se expresa en un proceso constituyente” ✍️ Por @PaulaGimenez_Ok y @MatiasCac ⬇️ tinyurl.com/2xl2wwh2",5,14,2,45
"Jul 29, 2023 · 12:40 AM UTC","#WillanakuyCusco 28J Días de protestas en Cusco
En Maranganí, Sicuani, Santo Tomás, Livitaca, Cusco hubo movilzaciones en contra del gobierno de Dina Boluarte y el Congreso.
Estas fotos dejó este día.",12,81,2,130
"Jul 28, 2023 · 9:57 PM UTC","#DinaAsesina y el Congreso corrupto que sostiene su dictadura encapsulados en la pompa, mientras el pueblo marcha este #28DeJulio para que se larguen todos y recibe bombas lacrimógenas, golpes y represión. Esta democracia ya no es democracia. #NuevasElecciones #NuevaConstitución",57,53,2,81
"Jul 27, 2023 · 6:42 PM UTC","🎙Raúl Samillán, presidente de la Asociación de Familiares de las víctimas asesinadas de Juliaca - Puno: ""Madres de 50 años no podrán esperar 30 años de justicia. Pedimos a Lima que se movilicen para lograr justicia ahora""",90,549,34,928
"Jul 28, 2023 · 2:47 PM UTC","Hoy 28 de Julio. Paro total en Santo Tomás, capital de la provincia de Chumbivilcas, Cusco. Ciudadanía exige urgente adelanto de elecciones generales.
#CuscoEnPortada",11,73,1,114
"Jul 27, 2023 · 5:56 PM UTC","🔴#AHORA | Familiares de víctimas de asesinados en protestas el 9 de enero en #Juliaca-Puno, junto con representantes de la SUTEP y grupos de manifestantes, salen a las calles del distrito y exigir JUSTICIA por asesinados y que se escuchen sus demandas.

#NoMásMuertosPorprotestar nitter.net/i/web/status/168…",4,87,2,116
