@AlejandroToledo
Fecha,Texto,Comentarios,Retweets,Guardados,Likes
"Nov 29, 2021 · 8:24 PM UTC","OTRO ESCANDALO JUDICIAL EN EL PERÚ.

Fiscalia denuncia perdida de pruebas almacenadas en local del Ministerio Público.

Dentro de documentos extraviados estaría evidencias sobre el Caso Odebrecht y demás casos de corrupción.

m.facebook.com/story.php?sto…",,5,1,7
"Nov 25, 2021 · 5:54 PM UTC","SALE A LA LUZ NUEVOS INDICIOS DE LOS NEXOS ENTRE EL SINDICADO CABECILLA DE LA MAFIA JUDICIAL ""LOS CUELLOS BLANCOS"" Y EL FUJIMORISMO.

Recordemos que el Fujimorismo declaró ser enemigo público del ex presidente @AlejandroToledo en el Perú.

larepublica.pe/politica/2021…",5,2,,4
"Nov 25, 2021 · 5:22 AM UTC","#Ultimo
🇵🇪CONTROL INTERNO DEL MINISTERIO PÚBLI­CO, ABRIÓ INVESTIGACIÓN AL EQUIPO LAJAVATO, PRESIDIDO POR EL FISCAL RAFAEL VELA.

larepublica.pe/politica/2021…",,3,,6
"Nov 19, 2021 · 3:46 PM UTC","OTRA MAFIA JUDICIAL EN EL PERÚ.

Sale a la luz otra Mafia Judicial en el Sistema de Justicia del Perú.

Jueces habrían pedido hasta US$ 1 millón para liberar a narcos, según la Fiscalía.

¡Urge una Reforma Judicial Urgente!

larepublica.pe/politica/2021…",,6,,12
"Nov 19, 2021 · 4:03 PM UTC","ESCANDALO JUDICIAL EN PERÚ.

Cuellos Blancos: Fiscal Rocío Sánchez solicitó suspender a fiscal de la Nación, Zoraida Ávalos por interferir en casos de corrupción.

“Tanto Zoraida Ávalos como María Zavala,deben estar investigadas"".

gestion.pe/peru/cuellos-blan…",,3,,4
"Nov 12, 2021 · 5:23 PM UTC","ESCANDALO JUDICIAL EN EL PERÚ.

La Junta Nacional de Justicia del Perú debería de actuar de oficio y destituir a los fiscales que favorecen a la empresa corrupta Odebrecht en el Perú.",,3,,6
"Nov 12, 2021 · 5:21 PM UTC","ESACANDALO JUDICIAL EN EL PERÚ.

FISCAL HAMILTON MORO DENUNCIA QUE LO DESTITUYERON POR NO FAVORECER A ODEBRECHT.

El fiscal Montoro contó que el Fiscal Vela estaba con el abogado de Odebrecht y le pidió solucionar el problema.

diariocorreo.pe/politica/mon…",,2,,6
"Oct 29, 2021 · 4:48 PM UTC","Defensa detalla paso a paso el irregular pedido de prision preventiva en contra del ex presidente @AlejandroToledo Toledo.

facebook.com/145399099485829…",,1,,6
"Oct 28, 2021 · 8:57 PM UTC","El Dr @AlejandroToledo forjó su trayectoria a base de Sacrificio y Esfuerzo, él nunca necesitó de la corrupción para salir adelante en la vida.
facebook.com/145399099485829…",,3,,6
"Oct 20, 2021 · 8:58 PM UTC","Plataforma Internacional de música ""Spotify"" publica canción bibliográfica del ex presidente @AlejandroToledo 

Dicho sencillo resalta la sobresaliente carrera profesional y su proyección como estadista en el Mundo.

open.spotify.com/album/2lhke…

facebook.com/145399099485829…",,2,,5
"Oct 8, 2021 · 8:23 PM UTC","🇵🇪 #Perú | El expresidente peruano @AlejandroToledo puede ser extraditado desde #EEUU. Su equipo legal asegura que «no recibió un dólar» de #Odebrecht, y que van a apelar la decisión del juez. Hablamos con Rafael Su, abogado de su equipo legal.
📺 En @CPoderNTN24 9pmET en @NTN24",3,2,,4
"Oct 16, 2021 · 6:52 AM UTC","@AlejandroToledo el mejor presidente estadista que tuvo el Perú.

open.spotify.com/track/3y21h…",,3,2,9
"Oct 12, 2021 · 1:46 AM UTC","Pronunciamiento N° 02.
""Maiman y Barata vuelven a cambiar de versión con la Anuencia de los Fiscales Peruanos"".

Defensa Técnica del expresidente @AlejandroToledo 

Video completo
piped.video/dSr9hpMBzdI",4,1,,8
"Oct 10, 2021 · 10:35 PM UTC","Pronunciamiento N° 01
Dr Roberto Su Rivadeneyra: ""El Juez americano Thomas Hixon, reconoció que Jorge Barata y Jossep Maiman se contradicen, que sus declaraciones no son fiables.
piped.video/GrtbIrs3ovs",1,2,,6
"Sep 30, 2021 · 2:37 AM UTC","Defensa técnica del expresidente @AlejandroToledo presentará recurso de Habeas Corpus debido a las graves afectaciones al ""Debido Proceso"".

facebook.com/145399099485829…",2,1,1,7
"Sep 30, 2021 · 2:22 AM UTC","Duberly Rodríguez: ¿Cuantas colaboraciones eficaces son falsas?

¿Cuántas serán compradas por poderes económicos, políticos interesados en destruir a una persona?

Todo el mundo cree que porque habló el colaborador, ya es suficiente para condenar ¡Mentira!

@AlejandroToledo",1,2,,7
"Sep 29, 2021 · 11:48 PM UTC","Defensa técnica del expresidente #AlejandroToledo presentará recurso de Habeas Corpus debido a las graves afectaciones al ""Debido Proceso"".

piped.video/0Yd1-gS8I-E",1,1,,4
"Sep 9, 2021 · 7:52 PM UTC","Gracias a una política económica responsable, el expresidente @AlejandroToledo pudo hacer crecer la economía, para asi poder crear Programas Sociales, Aumento de Salarios y Mas Trabajo para los que menos tienen.

Toledo creó...
facebook.com/145399099485829…",12,2,2,9
"Sep 6, 2021 · 9:49 PM UTC","Gracias a una política económica responsable, el expresidente @AlejandroToledo hizo crecer la economía para poder crear Programas Sociales, Aumento de Salarios y Mas Trabajo para los que menos tienen.

facebook.com/145399099485829…",2,2,,8
"Aug 31, 2021 · 6:28 PM UTC","Gracias a una política económica responsable, el expresidente @AlejandroToledo pudo hacer crecer la economía, para asi poder crear Programas Sociales, Aumento de Salarios y Mas Trabajo para los que menos tienen.

Toledo creó...

facebook.com/145399099485829…",,1,1,14
"Aug 24, 2021 · 6:28 PM UTC","Gracias a la Política Económica Responsable ejecutada por el expresidente @AlejandroToledo pudo dar como resultado mayor presupuesto para crear Programas Sociales y Mas Trabajo para todos los Peruanos.

m.facebook.com/story.php?sto…

#ToledoEstabilidadEconómica",,2,,9
"Aug 11, 2021 · 3:28 AM UTC","ALEJANDRO TOLEDO NO TIENE CONEXIÓN CON EL DINERO DE ODEBRECHT.

Defensa de @AlejandroToledo presenta INFORME con documentación que demostraría no tener vínculos con las imputaciones que hace la @FiscaliaPeru 

elcomercio.pe/politica/justi…

facebook.com/145399099485829…",,1,,6
"Jul 17, 2021 · 7:14 PM UTC","PASÓ EN EL BRASIL Y TAMBIÉN EN EL PERÚ.

La defensa de @AlejandroToledo denunció desde el inicio de las investigaciones que los fiscales se habrían puesto de acuerdo con Jossep Maiman para responsabilizar de todo al expresidente.

facebook.com/145399099485829…",,3,,8
"Mar 27, 2021 · 12:14 AM UTC","🇵🇪FISCAL PERUANO DEJA EN LIBERTAD A SUJETO QUE ULTRAJÓ E INTENTÓ QUEMAR A SU PROPIA HIJA.

Este tipo de casos, suelen quedar impunes en el Perú, hace falta una verdadera Reforma Judicial de raíz. La Mafia Judicial sigue operando con total impunidad.",1,3,,12
"Mar 25, 2021 · 11:48 PM UTC","🇵🇪MARTÍN VIZCARRA PRESIDENTE DEL PERÚ, NO RESPETÓ LA INDEPENDENCIA DE LOS PODERES DEL ESTADO.

Vizcarra Interfirió en la Justicia peruana PROMETIENDO en todos los Medios de Prensa que traería al presidente @AlejandroToledo al Perú antes que acabe su mandato.",,5,1,7
"Mar 24, 2021 · 4:08 PM UTC","🇵🇪 AUN NO INICIA SU JUICIO Y EL JUEZ CONCEPCIÓN CARHUANCHO YA ADELANTÓ OPINIÓN DECLARANDO CULPABLE AL PRESIDENTE TOLEDO.

Una prueba más de la Persecución Política en contra del Expresidente @AlejandroToledo.

¡En el Perú no existe la más mínima garantía de un juicio justo!",4,2,,5
"Mar 23, 2021 · 12:44 AM UTC","🇵🇪JUEZA QUE APROBÓ ACUERDO DE COLABORACIÓN CON ODEBRECHT, ABSUELVE A VIZCARRA.

A pesar que existiría comunicaciones via WhatsApp, donde Vizcarra reconocía que había recibido la presunta coima, la Jueza María de los Angeles Alvarez negó el pedido de Prisión Preventiva de 18 meses",,2,1,1
"Mar 12, 2021 · 7:04 PM UTC","🇧🇷LULA: ""FUI VICTIMA DE LA MAYOR MENTIRA JURIDICA CONTADA EN 500 AÑOS"".

🇵🇪La defensa de @AlejandroToledo viene denunciando por más de dos años, una marcada Persecución Política por parte de las principales autoridades Políticas y Judiciales del Perú.

piped.video/9WsdQ-2qmNM",1,1,1,2
"Feb 25, 2021 · 3:36 AM UTC","🇵🇪EX.PROCURADORA DENUNCIA QUE EL EX PRESIDENTE VIZCARRA ERA BLINDADO POR LA MAFIA JUDICIAL ""CUELLOS BLANCOS""

Recordemos que Vizcarra prometía en todos los medios de comunicación traer al Perú al expresidente @AlejandroToledo antes que acabe su mandato.
exitosanoticias.pe/v1/vizcar…",,3,,8
"Feb 25, 2021 · 12:57 AM UTC","🇵🇪ESACANDALO EN PERÚ: ""FISCALES POLITIZADOS, SOLO PERSEGUÍAN A SUS ENEMIGOS""

Sale a luz coordinaciones y favoritismos entre fiscales y el hasta hace poco Presidente Martín Vizcarra. 

Ahora entendemos porque perseguian al expresidente @AlejandroToledo

delpais.com.pe/al-descubiert…",,3,,3
"Feb 24, 2021 · 6:35 AM UTC","🇵🇪 UNA MUESTRA MAS DEL IRREGULAR MANEJO DE LA JUSTICIA EN EL PERÚ.

Recordemos que el presidente Vizcarra prometía traer al Perú al ex presidente @AlejandroToledo antes que acabe su mandato, ahora sabemos porque lo hacía, porque tenía poder en la Fiscalia

manifiestoperu.com/2021/02/2…",,2,,3
